trial_num,left_pwm,right_pwm,sim_time_start,model_pos_x_start,model_pos_y_start,theta_start,sim_time_final,model_pos_x_final,model_pos_y_final,theta_final
267,180,90,419764,380.61716,353.9534912,-121.3464883,421021,298.0533,337.727417,157.7482199
268,90,101,421612,299.18695,338.7024536,157.1336968,422867,333.36264,287.645752,92.83868114
269,90,85,423498,333.22562,289.053833,92.77075117,424721,298.0533,337.727417,158.0695117
270,90,90,425312,298.25763,338.0172729,156.8193042,426566,298.0533,337.727417,158.0695117
271,160,15,427096,298.0533,337.727417,156.7598174,428459,130.40927,437.3161011,147.8911464
272,0,180,429069,129.09164,437.3195801,147.0441483,430400,301.30362,335.37677,155.533688
273,83,85,430997,129.09164,437.3195801,147.0441483,432304,319.15976,347.2333984,-44.9589239
274,180,101,432896,319.3712,347.5401001,-44.47489198,434229,319.15976,347.2333984,-44.9589239
275,83,90,434785,319.3712,347.5401001,-44.47489198,436036,391.16632,359.2218628,-109.2767771
276,180,90,436632,319.3712,347.5401001,-44.47489198,437882,301.2234,330.9324951,156.1547408
277,90,101,438481,303.2306,331.3424683,157.0922843,439796,336.21387,272.333313,82.45978728
278,90,85,440390,335.87668,272.4834595,82.46676165,441694,300.377,330.9450684,156.5526483
279,90,90,442310,335.87668,272.4834595,82.46676165,443565,301.54343,330.7694702,157.4606602
280,160,15,444151,335.87668,272.4834595,82.46676165,445406,132.97363,433.4138184,148.9233067
281,0,180,446041,132.66524,431.3657837,147.763611,447355,299.6286,324.0449829,155.9036078
282,83,85,447953,299.54468,323.3601074,155.8659734,449272,317.70157,335.0622559,-43.9006032
283,180,101,449865,299.54468,323.3601074,155.8659734,451113,317.70157,335.0622559,-43.9006032
284,83,90,451647,298.17493,323.241394,153.3342412,453041,386.85913,346.8088379,-111.9570698
285,180,90,453656,386.73535,347.4017944,-112.248806,454987,295.63834,323.2957153,152.4189303
286,90,101,455601,295.43488,323.0039673,152.3600453,456924,327.94614,262.0628662,78.38958653
287,90,85,457519,327.9741,262.1065063,78.36185017,458840,327.94614,262.0628662,78.38958653
288,90,90,459368,295.28485,324.4368896,153.5909912,460692,295.28485,324.4368896,153.5909912
289,160,15,461278,295.16525,324.8273315,153.5676441,462606,295.28485,324.4368896,153.5909912
290,0,180,463201,134.92465,434.7159424,141.5343234,464550,300.91425,323.4787598,152.3337686
