trial_num,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
133,148.604,180,101,460.56567,456.89129638671875,69.73650902905393
133,148.638,180,101,463.56992,460.14495849609375,55.48176782748707
133,148.672,180,101,466.80438,461.6895751953125,46.43680703595149
133,148.696,180,101,466.5148,462.8099365234375,34.548579377096665
133,148.762,180,101,468.27274,464.4952392578125,25.62254260723875
133,148.796,180,101,470.68036,464.01177978515625,19.370451202374888
133,148.832,180,101,472.05276,463.93145751953125,11.10054210085316
133,148.896,180,101,473.49274,463.69097900390625,1.5534486601079314
133,148.93,180,101,475.90152,463.21221923828125,-9.041897154823467
133,148.966,180,101,475.90152,463.21221923828125,-9.041897154823467
133,149.001,180,101,480.2343,462.00689697265625,-24.91100970115486
134,149.583,83,85,482.35455,451.29815673828125,-83.76853849330271
134,149.615,83,85,482.94864,452.0743408203125,-83.8128607548153
134,149.695,83,85,482.61115,451.77197265625,-83.8096974574863
134,149.718,83,85,482.61115,451.77197265625,-83.8096974574863
134,149.751,83,85,482.3032,449.8626708984375,-83.03717913546738
134,149.785,83,85,482.35455,451.29815673828125,-81.7833681854199
134,149.85,83,85,483.00085,453.51214599609375,-76.40977672429129
134,149.884,83,85,482.79507,454.47552490234375,-68.55225197065177
134,149.917,83,85,482.768,456.08477783203125,-60.01360152321718
134,149.952,83,85,483.15762,457.83026123046875,-52.38120104636192
134,150.017,83,85,481.5019,459.04412841796875,-40.931384760612275
134,150.052,83,85,481.83917,459.3525390625,-32.04637704764387
134,150.084,83,85,480.51993,460.875732421875,-24.714643812595778
134,150.118,83,85,479.47403,462.83770751953125,-16.79445113676276
134,150.185,83,85,479.47403,462.83770751953125,-16.79445113676276
134,150.219,83,85,476.95792,461.21148681640625,3.8674391818727183
134,150.254,83,85,474.74722,462.32806396484375,12.481227517920466
135,150.803,180,101,466.66095,457.3646240234375,80.42373559586592
135,150.837,180,101,466.05292,456.57073974609375,80.44174946670367
135,150.874,180,101,466.32327,457.0458984375,80.41604728362073
135,150.91,180,101,466.39084,456.8892822265625,80.44943631265762
135,150.974,180,101,466.66095,457.3646240234375,80.42373559586592
135,151.008,180,101,466.66095,457.3646240234375,79.73270424775
135,151.042,180,101,466.66095,457.3646240234375,79.73270424775
135,151.076,180,101,467.79044,459.84613037109375,66.63288012559123
135,151.142,180,101,469.548,461.5267333984375,58.7386041791061
135,151.176,180,101,470.63126,462.5689697265625,50.0105233977291
135,151.211,180,101,471.78177,463.453369140625,38.0526513218047
135,151.276,180,101,474.52835,463.2926025390625,30.8639202077703
135,151.31,180,101,476.55753,465.45068359375,23.313584933787883
135,151.344,180,101,477.5928,465.05340576171875,13.564184116855428
135,151.378,180,101,480.6749,465.2060546875,5.2722192393979945
135,151.435,180,101,481.71014,464.81219482421875,-3.3524773885071615
135,151.469,180,101,481.71014,464.81219482421875,-3.3524773885071615
135,151.506,180,101,484.4547,464.65142822265625,-21.860481463598084
135,151.539,180,101,485.45984,461.20794677734375,-30.13931449570398
136,152.148,83,85,488.03262,450.0164794921875,-97.92256497673259
136,152.177,83,85,488.03262,450.0164794921875,-97.92256497673259
136,152.241,83,85,488.08636,451.45233154296875,-97.22188106051404
136,152.284,83,85,487.78058,449.543212890625,-97.25618147931853
136,152.303,83,85,488.42352,451.75030517578125,-97.21510307638285
136,152.323,83,85,488.36987,450.3134765625,-97.27602026433611
136,152.399,83,85,488.36987,450.3134765625,-94.09043480948374
136,152.433,83,85,487.88635,452.4144287109375,-84.91984209643323
136,152.465,83,85,489.5633,454.246337890625,-77.09336063750195
